RL,Description,Missed_Count,Spurious_Count,Total_Golden,Total_Predicted,Missed_Rate,Spurious_Rate
1,Vernacular Spatial Authority,446,188,954,696,46.75052410901468,9.611451942740286
2,Administrative Legitimacy,101,144,222,265,45.4954954954955,5.357142857142857
3,Family Rootedness,201,160,450,409,44.666666666666664,6.504065040650407
4,Linguistic-Cultural Recognition,244,105,552,413,44.20289855072464,4.4529262086514
5,Functional Livability,128,216,210,298,60.952380952380956,8.0
6,Social Embeddedness,151,162,300,311,50.33333333333333,6.206896551724138
7,Occupational Typification,76,39,90,53,84.44444444444444,1.3829787234042552
